rating,flair_sentiment,date,review,isEdited,userName,title,developerResponse,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
5,pos,2019-06-19 16:16:592019-04-25 15:21:402019-11-08 10:51:55,"The app is easy to use and for the one time I had some challenges with syncing my calendar and some confusion about the functions, customer support was quick and very friendly. They really listen to feedback and make you feel appreciated.The staff and environment of EDGE are nurturing and u pretentious. Great early morning classes. I’ve participated in two 6 week challenges and have achieved weight loss, muscle, strength and energy!She is the best motivational teacher I have ever had.  She always challenges us and keeps us striving for excellence!!!  She is awesome!!!",0,Terri Stiv.madrabbYoDancy,Great Customer SupportI love EDGE❤️Lisa Conner,"{'id': 9275069, 'body': 'We are so glad to hear you love the app and our support team! We are here for you 24/7!', 'modified': '2019-06-20T23:14:06Z'}{'id': 11741647, 'body': 'Hi Lisa, I am so glad you love the class and the teacher! Make sure you give her some love by reviewing the class in the app. You can find the option to review by going to Profile, scroll down from your schedule to history and just above the book button tap the screen. You will see the review this class option.', 'modified': '2019-11-08T22:22:09Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,3,0,0,1,0,0,0,0,0,96,has_challenges,3
1,neg,2017-09-28 20:17:572020-08-03 17:59:292019-12-24 14:39:012020-09-02 04:10:582019-05-19 12:19:232019-08-05 16:20:302021-07-05 13:10:33,"What a mess of an app.

The concept is fine, but I won't be using the app because:

1) these colors are hideously bright and clash with each other enough to make reading difficult. They give me a headache when I try to use the app for more than a few seconds.

2) What's with all the wasted white space? It's pointless to view a schedule when you can only see a few classes at a time and the whole screen is wasted with enormous and pointless icons. More functionality. Less attempt at being cool.

3) It bugs you CONSTANTLY for feedback. Honestly, it asked me to rate it within a minute of having installed it. I clicked ""later"". Later turned out to be five minutes later. I'm now rating it after having been asked to rate it three times.

4) It also bugs you constantly to make suggestions. I had difficulty even booking a class at my regular yoga place because it kept trying to recommend other studios to me. I'm not sure my home yoga studio will be thrilled to hear that.

Additionally, this requires you to create a login in addition to the one you use on the website already. It's a minor inconvenience, but it proved indicative of their overall inability to construct a quality app.When it works it’s great but lately the app has a bug where I can see a studios classes on the desktop version and even in the my schedule section of the app but not when I go to book a class in the app itself. It says no classes found. This happens for multiple studios! Tried to get help for this problem but all support seems to be for the businesses, not the end users. NOT COOL MINDBODY!  You forced me to provide this feedback here, along with a one star review and to uninstall your now worthless app. Fix this bug!!!I’ve trying to use this app for my gym for over 7 months.  Rarely am I able to book or reschedule my classes via the app.  My class schedule is rarely available to review.  There’s no where to give feedback although I got an email telling to use the app to give feedback for a quicker response.  If it’s in the app, then the app is not user friendly. The typically it’s states try again later for your business schedule.  Yet it’s available on the web.  It’s a very frustrating app to use.This app continues to deteriorate.   Used to sync with calendar without issues.   I have to manually sync many times to get appointments to transfer.   Newest issue- when I open the app to check schedule, it shuts down.   Three years ago, I had no issues.   I have an iPhone 11.  Any feedback as to why all the issues is appreciated.   BTW - dors the same thing on my IPad.App no longer works. It takes me about 10 minutes to sign up for 3 classes at the same studio. The app continuously freezes and remains that way. I used to love the convenience of this app. If you can’t get this fixed, I’m going to complain to the studio and recommend that they find a new booking service. Your app used to be perfect. Now it’s a huge PITA.So tired of the app crashing and freezing. It’s continuous.   I’ve been trying to schedule 3 classes for this week and so far I’ve gotten one booked in the last 10 minutes.  The app would be convenient but I don’t have time to deal with the terrible performance issues.  Please get it fixed!There is a terrible bug in the UI that displays some classes as free when they are NOT free. You need to continuously click through to see the price. My goodness, fix this!!",0,Christofer WilliamsTNSCrispinBlue4ever98Jr111358smarie222Newhorizons26Mfannon24,"Has potential, but way too intrusive. Not worth using now.App doesn’t list any classes for my studiosRarely works properlyNothing but problems nowUsed to be great. Now it’s terrible.Crashing and Freezing is Annoying!""Free"" bug is AWFUL","{'id': 3275112, 'body': 'Thanks for leaving a review. We appreciate your suggestions regarding the look and feel and we encourage you to download the latest version to see the new and improved MINDBODY app!', 'modified': '2018-04-26T22:08:49Z'}{'id': 17157258, 'body': ""Hi there, please update your app we released a fix after the feedback we received identifying the issue you're referring to. We do apologise for any inconvenience caused! "", 'modified': '2020-08-08T13:07:58Z'}{'id': 12593618, 'body': 'Hi there, we have a 24.7 Live Chat team at your disposal under Profile > Settings > Chat with us. We can discuss the issues and get you sorted. Thanks.', 'modified': '2019-12-26T10:36:17Z'}{'id': 17707107, 'body': ""So sorry to hear you're experiencing problems please reach out to our app support team so we can get this resolved for you."", 'modified': '2020-09-05T12:39:35Z'}{'id': 8765036, 'body': 'We apologize for the issues you are experiencing using our app and are working on a fix. Please stay tuned for an update to the app that will address the issues you are currently experiencing!', 'modified': '2019-05-20T21:06:31Z'}{'id': 10059086, 'body': 'We are sorry you are having trouble with the app and thank you for the detailed feedback. We suggest updating your app to the latest version to resolve any performance issues. If you need further help, please visit help.mindbody.io and choose the live chat option located on the bottom right-hand corner of the page where our amazing 24/7 Live Chat team can be reached.', 'modified': '2019-08-07T19:07:16Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,0,0,0,7,0,0,0,0,0,640,has_feedback,13
2,neg,2021-07-29 01:35:012019-07-28 18:49:452017-11-11 12:33:14,"The app serves its purpose and works most of the time. There are quite a few times it hasn’t picked up my workout so I don’t get credit on the tracker (which I’ve submitted tickets for). Support/IT on the other hand is trash. I’ve opened 3+ cases. They either go untouched for months, or they come back saying there was an error with my case being submitted and they didn’t receive it. Never actually received thoughtful feedback on any support case I’ve opened.This app is continuously freezing, I have to open and close it multiple times to get it to work.  I am current on the updates, it is very frustrating to use.  I’ve just been using the individual apps of the locations I frequent because this app is so unreliable.  I do not have this issue with any of the other apps I use.  The app does not allow rating of a studio or fitness center, only individual classes, which is a big drawback.The color is not user friendly for eyes at all. Scheduling a class is fine; however, I am not able to add the class to Google calendar. I am constantly asked for feedback after I attended a class.",0,Meggb92DR0608kerstinelfi,"App is good, Support is not.GlitchyWhat a waste","{'id': 9902981, 'body': 'Hi there, thank you for your feedback! I am sorry to hear you are having issues with freezing. Please reach out to our support team. We are here to help you in all things app related. You can find the chat feature in the app on the login and profile pages. The website is https://help.mindbody.io/ the chat icon is in the lower right corner.', 'modified': '2019-07-29T16:18:37Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,0,0,0,3,0,0,0,0,0,204,has_feedback,13
5,pos,2019-05-17 04:47:292019-06-19 16:16:592020-11-11 15:57:52,"I’ve been using this app since its infancy, I think, and have seen it grow and evolve to this wonderfully convenient way to access all my interests. 

I think I started using this app around 2014, and even though the options were limited then, the businesses MINDBODY has drawn have always been worth a visit—a unique experience with a wide range of alternative, and traditional, fitness and wellness options. MINDBODY appears to be a business that attracts businesses of a similar likeness in striving to elevate the customer experience. 

Perhaps there are other apps out there, like this, that allow you to personalize your interaction with the fitness and wellness centers in your area, but MINDBODY has continuously proven to this user that they are a pioneer in creating accessibility and a feeling of welcome to this industry. 

Cheers.The app is easy to use and for the one time I had some challenges with syncing my calendar and some confusion about the functions, customer support was quick and very friendly. They really listen to feedback and make you feel appreciated.Love this app for booking classes. And, if something comes up, it allows you to unbook. It also will prompt you to rate the class just after, which is nice to send feedback to the instructor.",0,rrrrizzleTerri Stiv.CombatRoll,Happy UserGreat Customer SupportEasy to use!,"{'id': 9275069, 'body': 'We are so glad to hear you love the app and our support team! We are here for you 24/7!', 'modified': '2019-06-20T23:14:06Z'}{'id': 19105573, 'body': 'Thank you for your kind words!', 'modified': '2020-11-14T14:07:30Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,1,0,0,3,0,0,0,0,0,217,has_feedback,13
1,neg,2019-08-31 18:28:142019-09-30 23:12:58,"People like this app because it’s easy to find and book last minute deals. But they have even less liability than Groupon or living social. They don’t monitor their offers or businesses in any way, meaning you can be screwed over entirely by a business owner and MINDBODY doesn’t care nor agree to any liability for a refund. This app is great until it’s not. Until someone doesn’t provide what they’ve offered and you’re left paying for something you didn’t get. I wish someone had warned me.I was hoping this was going to be a non-partisan app but it’s pushing a socialist agenda through it’s “uplifting” memos.  It’s aggravating that they want me to be like Michelle Obama but I flossed over that and continued to look through the app.   Then I did more online research (you’ll have to go deep) and found out more about the creators from Duke.  It’s unfortunate that we have to be wary of these agendas.  I’m back to searching for something a little more “boring” where I’m not a social engineering pawn.",0,NikkisAddictedvirtuaen,Doesn’t protect purchasesSocial Engineering,"{'id': 10480038, 'body': 'Hi there, I am sorry to hear you had an issue. Please chat with us from the app, we can always reach out to the studio on your behalf. There are options available to you. You can find the chat feature in the app on the login and profile pages – in Settings in the upper right corner. The website is https://help.mindbody.io/ the chat icon is in the lower right corner. ', 'modified': '2019-09-02T19:57:09Z'}{'id': 10990119, 'body': ""MINDBODY pride itself on equality, diversity and inclusion and we reinforce that within the company and our services. We're sorry if you feel there is a socialist agenda and we certainly do take on and appreciate your feedback."", 'modified': '2019-10-01T06:36:58Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,0,0,0,0,2,0,0,0,0,179,has_social,8
2,neg,2020-01-13 03:56:16,Sometimes it works and sometimes it doesn’t integrate data wit Strava. I have had to reinstall twice and then it still seems to lose the connection with Strava after a few hours. Bummed.,0,foxfly5,Strava integration,"{'id': 12929359, 'body': ""Hi there, we're working with Strava to get this resolved as soon as possible. Thank you for your patience & review!"", 'modified': '2020-01-15T12:14:54Z'}",Mindbody Fitness Salon Spa,0,0,0,0,0,1,0,0,0,0,33,has_social,8
5,pos,2019-06-05 22:59:472020-07-09 16:50:062019-04-09 22:52:592020-03-25 01:17:402022-03-13 07:34:49,"I have been in search for a studio that offers flexible hours & classes of different levels from novice to expert. I am a true novice and I knew after 5 days into an introductory offer, I found a home.  The instructors are professional, and their knowledge of the body, mind and spiritual connections are second to none. They weave the breathing techniques, instructional poses and the physiology simultaneously.  
     So far I experienced 3 different instructors.  Margo in particular reads a quote and paces her direction in a clear, articulate calming voice and in a way thats not intimidating.  She encourages us  and pushes our limits at the same time.  Proudly I have had 21 classes and no 2 have been remotely the same. Any concerns or anxiety that you bring to the class are left at the door.  I guarantee that your body, mind and spirit are significantly relaxed and improved before you exit the studio.  Cannot wait for my next class.
Sincerely
Jean MarieI love that I can schedule all my yoga classes for the week from different studios and see it all in one spot! This way I can send a pic of my chosen schedule to friends and spouse and line up my home and social life based on my fitness! ❤️I started with thought of just socializing . But I got more. More Energy. More friends. Better stamina with daily activities!Ohana wellness and fitness in Shelby Twp cares... they offer the best online workouts to keep us all motivated during this social distancing !!!! They really care about their clients !!!Joining FIIT NATION EDH and the simplicity of the MindBody App connection is wonderful.  I’m feeling more energetic, happier and like I’ve joined  the perfect fitness family.",0,yoga jeanVimay24dstiuMobile User1984KLMYoung,Red Sun YogaAll togetherBody pump and Zumba#ohanaonline rocks !FIIT Nation EDH,"{'id': 16549355, 'body': ""Thanks for your encouraging words, we're glad you're enjoying the app!"", 'modified': '2020-07-11T06:57:27Z'}{'id': 8157741, 'body': 'We are so glad you have loved using our app to discover inspiring classes! We hope you continue to use it in the future!', 'modified': '2019-04-10T19:10:10Z'}{'id': 14237153, 'body': 'Thanks for your review! Be sure to rate your class history so the studios get to see this great feedback too.', 'modified': '2020-03-25T11:16:16Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,0,0,0,0,5,0,0,0,0,296,has_social,8
5,pos,2019-02-12 06:17:132019-06-01 16:08:522019-09-15 19:15:402019-11-16 23:03:062019-02-08 20:23:462019-06-17 18:40:242019-09-30 22:07:54,"Best things about this app:

1. Signs into my class for me by using my GPS to know I’m at the location.

2. Connects to my Fitbit and figures out the amount of calories I burned SPECIFICALLY IN THAT CLASS. 

I didn’t even know either of these technologies existed until now!!!

Also, I read past reviews and the developers of this app are EXTREMELY responsive to market desires. It’s amazing how features people were asking for less than a year ago have already been implemented! This company has amazing employees :)

The App Store should allow for outdated low-ratings requesting updates, that have now been implemented, to be deleted because these old ratings are making its score inaccurate for the app it is today.Useful to find and book workout classes with nice tech integration of FitBit and other fitness tracking devices. The only downside is there aren’t many businesses outside workout providers and would be nice to more massage, acupuncture and other wellness options.I love being able to use this app as I look for just the right yoga class and time. Makes tracking multiple yoga studios a breeze!!This ap has been wonderful! It allows me to see all kinds of opportunities and specials.  I love tracking where and when I have taken classes.Smooth app, super easy to access my classes and I love how it ties into my calendar.

It would be great if it had meditation and diet tracking also.Easy. Intuitive. Shows coupons. I find places I didn’t know existed! Score for me :)Great for tracking the classes and studios I love!",0,BrookiemenapaulewannacrackerWilmaAliceHeidskeepAlexzandyrlivil1Amcyki,Awesome TechnologyEasy to find and book classesSo easy!!GreAt apServing a more mindful purposeNo brained- greatNice app you’ve got there,"{'id': 7718344, 'body': ""Thanks for taking the time to share your detailed feedback. We're glad you love our app and especially enjoy the technology of it and continue using it in the future!"", 'modified': '2019-03-13T20:15:45Z'}{'id': 10711507, 'body': '""We are pleased that you enjoyed the app. If there is anything we can do for you, just let us know at https://support.mindbodyonline.com/s/contactsupport!\nHave a wonderful day!""', 'modified': '2019-09-16T22:01:33Z'}{'id': 11913429, 'body': 'Thank you so much for your review!', 'modified': '2019-11-18T16:32:49Z'}{'id': 7718350, 'body': ""Thanks for taking the time to share your feedback. We're glad you love our app and continue using it in the future!"", 'modified': '2019-03-13T20:16:06Z'}{'id': 9275075, 'body': 'We are glad to hear you like the app!', 'modified': '2019-06-20T23:15:45Z'}{'id': 10990283, 'body': 'Thank you so much for your feedback! ', 'modified': '2019-10-01T06:48:51Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,0,0,0,0,0,7,0,0,0,270,has_tracking,7
1,neg,2017-11-09 16:25:55,I can't log in. I can't view my schedule. This app never works the way it should and has become and obstacle in reaching my fitness goals. It makes my mind crazy and my body stressed. Hundreds of dollars in classes and I can't even remember when they are. I make sure the app is up to date and uninstall it and reinstall it all the time. Such a let down.,0,medikateny,Never works the way it should,0,Mindbody Fitness Salon Spa,0,0,0,0,0,0,0,1,0,0,71,has_goals,6
5,pos,2019-09-02 22:32:152019-05-07 08:09:382018-05-02 07:27:272022-01-16 14:37:202020-03-12 22:14:44,"Ultra Body Sculpt is amazing! The staff makes me feel like I can achieve any goals while on my weight loss journey. They’ve provided me the knowledge base that I think is imperative to not only losing weight but a healthier lifestyle, by keeping the information simple. I’ve only had two sessions and I have seen immediate results each time. Mind you, my results are not just evidence of the machine that is used but they are a combination of following the plan that was set for me and the 90 minute treatments. Prior to learning about this treatment I was considering a tummy tuck, but to be honest I wouldn’t dare to do something so evasive that would require months to fully recover knowing the ultrasonic lipo is available and at a more affordable rate.I hadn’t done yoga since I was in my teens & early 20’s. Now, in my 50’s, here I am doing Gentle Yoga with Quin. She has such a kind & gentle spirit. I believe she is just the person to help me achieve my goals: relaxation, mindfulness of my body and spirit, improved range of motion, strengthening of my muscles, & basic yoga terms/positioning. I really look forward to our sessions❤️This app lets me update it with all of my favorite workout locations! It is so easy and helps plan out my weeks and stay committed to my fitness goals! I know when I have Hitt, yoga, Zumba or cycling at any of my favorite small town fitness studiosThe trainers at BodyTrac are phenomenal. They modify exercises to fit personal needs and goals, monitor for proper form and safety, and have kept me motivated for 3 1/2 years!Classes are perfect! Highly intense with an eye on individual growth and personal motivation to strategize your goals and make them attainable! Way to go Team! 

Justin Kopplin",0,Expressions81WT?!ChelsranckD Pearl 2022Smiles 🤩,The BEST!!!Studio Stretch ShreveportMind Body Soul makes it so easy!Tremendous Personal TrainersLove Retrofit !! Best place to train!,"{'id': 10488677, 'body': ""Hi there, we're so happy to see your feedback for a business that uses our software. Be sure to go into your Schedule and under your previous classes to give feedback there so the business can see this too! Thanks."", 'modified': '2019-09-03T08:20:31Z'}{'id': 3331577, 'body': ""Thanks for taking the time to share a rating! We're glad you find our app very easy to use and that it keeps you committed to your fitness goals, whether it is yoga, Zumba or cycling. We hope you continue to explore the new features and classes in our app!"", 'modified': '2018-05-02T16:04:59Z'}{'id': 14030903, 'body': 'Hi there, be sure to pop into your History under your Schedule and rate your classes so the studios you attend get to see this amazing feedback! ', 'modified': '2020-03-13T15:28:59Z'}",Mindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon SpaMindbody Fitness Salon Spa,0,0,0,0,0,0,0,5,0,0,315,has_goals,6
